Month,Year,Zip Code,Customer Type,Monthly KWH Used
8,2015,"37138
(36.239455, -86.611783)",COMCOMM > 50 KW                                                  ,1369193
8,2015,"37069
(35.985493, -86.899213)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,5504
8,2015,"37203
(36.150195, -86.790206)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,2970048
8,2015,"37243
(36.166899, -86.77672)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,121536
8,2015,"37217
(36.106646, -86.667608)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1146652
8,2015,"37208
(36.176427, -86.805176)",COMCOMM > 50 KW                                                  ,5888256
8,2015,"37208
(36.176427, -86.805176)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1310251
8,2015,"37209
(36.149599, -86.874487)",COMCOMM > 50 KW                                                  ,12423075
8,2015,"37072
(36.350389, -86.731255)",SEASEAS =< 50 KW                                                 ,1320
8,2015,"37122
(36.187906, -86.500085)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,7117
8,2015,"37013
(36.049335, -86.641832)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,7087647
8,2015,"37216
(36.216134, -86.726204)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,865821
8,2015,"37143
(36.12259, -87.03587)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,706808
8,2015,"37210
(36.140869, -86.738847)",COMCOMM > 50 KW                                                  ,10749731
8,2015,"37027
(36.00245, -86.778709)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1202679
8,2015,"37216
(36.216134, -86.726204)",COMCOMM > 50 KW                                                  ,3971741
8,2015,"37205
(36.112469, -86.867263)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,11295066
8,2015,"37073
(36.42764, -86.812249)",COMCOMM > 50 KW                                                  ,54320
8,2015,"37075
(36.323052, -86.60557)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,2311354
8,2015,"37228
(36.193837, -86.803025)",OLMOLB METERED                                                   ,606
8,2015,"37206
(36.18095, -86.739624)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1313389
8,2015,"37237
",COMCOMM > 50 KW                                                  ,684000
8,2015,"37221
(36.064367, -86.96029)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,9846069
8,2015,"37221
",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1069391
8,2015,"37073
(36.42764, -86.812249)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,23143
8,2015,"37219
",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,292054
8,2015,"37218
(36.210699, -86.866798)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,635765
8,2015,"37214
(36.168995, -86.667231)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1656933
8,2015,"37216
",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,4052822
8,2015,"37215
",OLMOLB METERED                                                   ,6399
8,2015,"37207
",COMCOMM > 50 KW                                                  ,8257562
8,2015,"37217
(36.106646, -86.667608)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,1034845
8,2015,"37202
",COMCOMM > 50 KW                                                  ,31900
8,2015,"37135
",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,181220
8,2015,"37210
(36.140869, -86.738847)",SEASEAS > 50 KW                                                  ,0
8,2015,"37135
",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,2148
8,2015,"37086
",COMCOMM > 50 KW                                                  ,7483595
8,2015,"37072
",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,8247410
8,2015,"37212
(36.133256, -86.801456)",COMCOMM > 50 KW                                                  ,11999926
8,2015,"37076
(36.175185, -86.5933)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1126839
8,2015,"37204
(36.109305, -86.776748)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,657933
8,2015,"37210
(36.140869, -86.738847)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,2471607
8,2015,"37213
(36.167552, -86.767564)",COMCOMM > 50 KW                                                  ,1753006
8,2015,"37212
(36.133256, -86.801456)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,2569066
8,2015,"37201
(36.164553, -86.776977)",COMCOMM > 50 KW                                                  ,5755819
